src_ip,dest_ip,timestamp,src_port,dest_port,proto
200.51.43.5,192.168.1.238,2024-05-07T23:01:08.469834+0200,53,3658,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:08.471154+0200,53,3662,UDP
200.51.43.5,192.168.1.238,2024-05-07T23:01:08.488682+0200,53,3656,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:08.497209+0200,53,3665,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:08.498523+0200,53,3664,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:08.499821+0200,53,1133,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:08.502557+0200,53,3666,UDP
200.51.43.5,192.168.1.245,2024-05-07T23:01:08.502493+0200,53,3669,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:08.784034+0200,53,3663,UDP
200.51.43.5,192.168.1.9,2024-05-07T23:01:08.804187+0200,53,3294,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:08.816726+0200,53,4006,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:08.819201+0200,53,3975,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:08.819338+0200,53,1139,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:08.819256+0200,53,1447,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:08.819330+0200,53,2566,UDP
200.51.43.5,192.168.1.239,2024-05-07T23:01:08.840383+0200,53,2564,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:08.855384+0200,53,3670,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:08.855401+0200,53,3668,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:08.855412+0200,53,1029,UDP
200.51.43.5,192.168.1.71,2024-05-07T23:01:08.855470+0200,53,3664,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:08.867864+0200,53,4506,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:08.867847+0200,53,4648,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:08.867881+0200,53,4508,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:08.867842+0200,53,1152,UDP
200.51.43.5,192.168.1.242,2024-05-07T23:01:08.889801+0200,53,1025,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:08.894361+0200,53,2902,UDP
200.51.43.5,192.168.1.91,2024-05-07T23:01:08.902162+0200,53,2675,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:08.920990+0200,53,3440,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:08.922232+0200,53,3369,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:08.923509+0200,53,3429,UDP
200.51.43.5,192.168.1.247,2024-05-07T23:01:08.932675+0200,53,2900,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.070910+0200,53,1109,UDP
200.51.43.5,192.168.1.243,2024-05-07T23:01:09.072004+0200,53,2532,UDP
